Transverse rank-one certificates for the 204 fields of the p = 5 census (|D_K| < 2^30)
==================================================================

D_K          #rat rk1  #rat transverse  min k-degree  criterion applies
-941867380          1               1            1  YES
-954227011          0               0            6  YES
-964632455          2               2            1  YES
-967077539          1               1            1  YES
-975828939          3               2            1  YES
-976016443          1               1            1  YES
-979106379          0               0            6  YES
-996554680          0               0            2  YES
-1007496479         1               1            1  YES
-1008688623         1               0            4  YES
-1011574052         1               0            3  YES
-1014273539         0               0            6  YES
-1016848324         4               4            1  YES
-1018718571         1               1            1  YES
-1019215031         0               0            6  YES
-1030705032         1               1            1  YES
-1040930248         2               2            1  YES
-1041244847         0               0            2  YES
-1043658971         0               0            2  YES
-1047634431         1               1            1  YES
-1064940171         2               2            1  YES
-1066461896         0               0            6  YES
-1069759951         2               2            1  YES

== -11203620
  rational x=(1, 1, 0)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[1], [4]], [[4], [2]]]
  rational x=(1, 3, 0)  det B = 0  not transverse  (tangent dim 1)
    B = [[[2], [4]], [[0], [0]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[3, 0, 4], [2, 2, 3], [1, 0, 0]]
    det B = [0, 3, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 4, 1], [0, 0, 2]], [[1, 4, 2], [4, 0, 2]]]

== -18397407
  rational x=(1, 1, 0)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[4], [1]], [[0], [4]]]
  rational x=(1, 4, 2)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[4], [3]], [[1], [4]]]
  rational x=(0, 1, 2)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[2], [0]], [[3], [1]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[4, 3, 4], [1, 3, 0], [1, 0, 0]]
    det B = [0, 1, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[0, 2, 1], [4, 4, 2]], [[3, 3, 1], [4, 1, 0]]]

== -27960639
  rational x=(1, 2, 2)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[2], [4]], [[4], [4]]]
  rational x=(1, 3, 2)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[2], [0]], [[1], [2]]]
  degree-4 point over F_5[t]/(t^4: [1, 0, 1, 1, 1])
    x = [[2, 0, 4, 3], [0, 4, 3, 4], [1, 0, 0, 0]]
    det B = [3, 1, 3, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 0, 1, 2], [0, 0, 4, 3]], [[0, 1, 3, 3], [2, 0, 2, 3]]]

== -35663739
  degree-6 point over F_5[t]/(t^6: [1, 0, 0, 0, 1, 1, 1])
    x = [[3, 4, 0, 2, 4, 2], [0, 3, 4, 4, 4, 3], [1, 0, 0, 0, 0, 0]]
    det B = [2, 1, 3, 3, 1, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 0, 4, 3, 0, 1], [0, 1, 4, 1, 4, 2]], [[4, 4, 1, 1, 0, 3], [0, 2, 3, 4, 3, 2]]]

== -51213139
  rational x=(1, 2, 4)  det B = 0  not transverse  (tangent dim 1)
    B = [[[2], [3]], [[3], [2]]]
  degree-4 point over F_5[t]/(t^4: [1, 0, 1, 1, 1])
    x = [[4, 2, 1, 3], [1, 1, 1, 0], [1, 0, 0, 0]]
    det B = [0, 0, 4, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 2, 1, 3], [0, 1, 2, 1]], [[4, 3, 0, 0], [3, 1, 4, 4]]]

== -54319112
  rational x=(1, 1, 1)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[1], [2]], [[4], [0]]]
  rational x=(1, 1, 3)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[1], [4]], [[3], [0]]]
  rational x=(1, 3, 3)  det B = 0  not transverse  (tangent dim 1)
    B = [[[1], [2]], [[1], [2]]]
  rational x=(1, 4, 2)  det B = 0  not transverse  (tangent dim 1)
    B = [[[3], [0]], [[1], [0]]]

== -61040707
  rational x=(1, 1, 4)  det B = 0  not transverse  (tangent dim 1)
    B = [[[0], [2]], [[0], [3]]]
  rational x=(1, 2, 2)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[3], [0]], [[2], [3]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[1, 1, 3], [1, 2, 3], [1, 0, 0]]
    det B = [3, 2, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 4, 4], [4, 4, 4]], [[3, 0, 3], [3, 2, 3]]]

== -65818135
  rational x=(1, 1, 4)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[3], [2]], [[2], [1]]]
  rational x=(1, 2, 2)  det B = 0  not transverse  (tangent dim 1)
    B = [[[4], [2]], [[2], [1]]]
  rational x=(1, 4, 1)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[1], [4]], [[3], [3]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[0, 3], [1, 0], [0, 0]]
    det B = [3, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 1], [0, 2]], [[2, 2], [1, 2]]]

== -75949255
  rational x=(1, 0, 3)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[4], [0]], [[4], [1]]]
  rational x=(0, 1, 2)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[2], [4]], [[3], [4]]]
  degree-4 point over F_5[t]/(t^4: [1, 0, 1, 1, 1])
    x = [[0, 1, 4, 2], [1, 0, 1, 1], [1, 0, 0, 0]]
    det B = [4, 2, 4, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 4, 2, 0], [3, 0, 0, 4]], [[1, 2, 2, 1], [0, 3, 4, 0]]]

== -77778287
  rational x=(1, 1, 4)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[4], [2]], [[3], [3]]]
  rational x=(1, 4, 3)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[4], [4]], [[3], [4]]]
  rational x=(0, 1, 3)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[1], [1]], [[1], [3]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[2, 3, 2], [2, 3, 1], [1, 0, 0]]
    det B = [1, 3, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[0, 0, 2], [3, 1, 4]], [[1, 3, 2], [0, 1, 0]]]

== -89017304
  rational x=(1, 1, 4)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[3], [0]], [[1], [2]]]
  rational x=(0, 0, 1)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[4], [2]], [[0], [1]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[2, 3], [0, 0], [1, 0]]
    det B = [0, 0]  not transverse  (tangent dim 1)
    B = [[[0, 0], [0, 0]], [[1, 1], [3, 3]]]

== -89218664
  rational x=(1, 4, 2)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[0], [3]], [[4], [0]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[3, 2], [0, 2], [1, 0]]
    det B = [2, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 3], [3, 0]], [[2, 0], [4, 0]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[1, 0, 3], [1, 1, 3], [1, 0, 0]]
    det B = [0, 4, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 1, 0], [4, 2, 4]], [[0, 4, 0], [2, 3, 3]]]

== -90903207
  rational x=(1, 2, 0)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[4], [4]], [[0], [4]]]
  rational x=(1, 3, 4)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[4], [3]], [[3], [2]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[0, 2], [0, 1], [1, 0]]
    det B = [1, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 2], [4, 3]], [[0, 1], [0, 1]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[1, 4], [1, 4], [1, 0]]
    det B = [2, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[0, 2], [1, 4]], [[4, 2], [4, 1]]]

== -93121640
  rational x=(1, 1, 3)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[4], [4]], [[1], [2]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[1, 1, 2, 1, 4], [1, 2, 1, 1, 0], [1, 0, 0, 0, 0]]
    det B = [4, 3, 2, 4, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 1, 4, 3, 3], [1, 4, 4, 3, 4]], [[3, 0, 0, 0, 0], [2, 1, 4, 4, 4]]]

== -104545864
  rational x=(1, 1, 0)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[1], [3]], [[3], [3]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[3, 2, 1, 1, 4], [1, 1, 2, 3, 0], [1, 0, 0, 0, 0]]
    det B = [3, 0, 2, 2, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 0, 3, 1, 3], [4, 0, 1, 2, 2]], [[3, 1, 2, 3, 1], [1, 1, 0, 0, 0]]]

== -106660295
  rational x=(1, 2, 0)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[3], [2]], [[1], [2]]]
  rational x=(0, 1, 0)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[3], [2]], [[0], [4]]]
  degree-4 point over F_5[t]/(t^4: [1, 0, 1, 1, 1])
    x = [[3, 1, 3, 4], [0, 1, 0, 1], [1, 0, 0, 0]]
    det B = [3, 1, 1, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 4, 3, 0], [2, 2, 1, 0]], [[3, 0, 1, 3], [4, 3, 0, 2]]]

== -109909943
  rational x=(1, 2, 3)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[4], [2]], [[1], [0]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[4, 0], [1, 4], [1, 0]]
    det B = [3, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 2], [4, 4]], [[0, 2], [3, 3]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[4, 2, 1], [0, 0, 4], [1, 0, 0]]
    det B = [3, 1, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 1, 4], [0, 1, 1]], [[4, 1, 3], [0, 3, 3]]]

== -123482119
  rational x=(1, 1, 1)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[3], [0]], [[0], [3]]]
  rational x=(1, 4, 2)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[3], [1]], [[3], [4]]]
  rational x=(1, 4, 3)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[2], [1]], [[4], [1]]]
  rational x=(0, 1, 0)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[2], [3]], [[0], [3]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[0, 0], [2, 3], [1, 0]]
    det B = [1, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 2], [3, 0]], [[0, 0], [4, 4]]]

== -123779560
  rational x=(1, 3, 1)  det B = 0  not transverse  (tangent dim 1)
    B = [[[3], [4]], [[4], [2]]]
  rational x=(1, 3, 3)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[3], [2]], [[1], [3]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[4, 4, 3], [0, 3, 0], [1, 0, 0]]
    det B = [3, 4, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[0, 4, 3], [3, 1, 1]], [[1, 0, 0], [2, 1, 1]]]

== -126740891
  degree-6 point over F_5[t]/(t^6: [1, 0, 0, 0, 1, 1, 1])
    x = [[4, 2, 1, 1, 3, 4], [0, 0, 2, 1, 4, 1], [1, 0, 0, 0, 0, 0]]
    det B = [2, 1, 1, 1, 4, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 2, 1, 1, 3, 2], [4, 2, 0, 0, 2, 3]], [[2, 1, 0, 3, 3, 1], [1, 4, 3, 1, 1, 2]]]

== -129063459
  rational x=(1, 2, 4)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[2], [2]], [[4], [0]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[1, 1, 2, 4, 0], [0, 4, 1, 0, 0], [1, 0, 0, 0, 0]]
    det B = [0, 3, 3, 3, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 0, 3, 3, 0], [3, 4, 1, 4, 2]], [[2, 1, 3, 3, 3], [2, 3, 4, 4, 3]]]

== -130370807
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[4, 4], [3, 4], [1, 0]]
    det B = [4, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 3], [2, 2]], [[3, 1], [0, 4]]]
  degree-4 point over F_5[t]/(t^4: [1, 0, 1, 1, 1])
    x = [[0, 0, 2, 1], [0, 4, 4, 2], [1, 0, 0, 0]]
    det B = [2, 0, 3, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 4, 2, 3], [3, 2, 2, 4]], [[4, 2, 0, 0], [0, 4, 1, 4]]]

== -134005207
  rational x=(1, 0, 4)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[2], [3]], [[1], [2]]]
  rational x=(1, 2, 3)  det B = 0  not transverse  (tangent dim 1)
    B = [[[4], [2]], [[0], [0]]]
  rational x=(1, 4, 2)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[1], [4]], [[1], [0]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[0, 1], [2, 0], [1, 0]]
    det B = [0, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 0], [0, 4]], [[1, 4], [4, 4]]]

== -145367147
  rational x=(1, 1, 4)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[2], [0]], [[3], [2]]]
  rational x=(0, 0, 1)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[3], [2]], [[0], [2]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[4, 1], [0, 2], [1, 0]]
    det B = [0, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 0], [2, 3]], [[4, 1], [0, 1]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[0, 1], [2, 4], [1, 0]]
    det B = [0, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[0, 1], [1, 3]], [[1, 4], [4, 1]]]

== -150535579
  rational x=(1, 3, 2)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[1], [3]], [[1], [4]]]
  rational x=(0, 1, 1)  det B = 1  TRANSVERSE  (tangent dim 0)
    B = [[[1], [2]], [[4], [4]]]
  degree-4 point over F_5[t]/(t^4: [1, 0, 1, 1, 1])
    x = [[2, 1, 4, 2], [2, 1, 1, 2], [1, 0, 0, 0]]
    det B = [0, 2, 4, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 2, 4, 4], [4, 0, 4, 4]], [[2, 4, 3, 0], [2, 4, 0, 1]]]

== -150679519
  degree-6 point over F_5[t]/(t^6: [1, 0, 0, 0, 1, 1, 1])
    x = [[4, 3, 4, 0, 4, 4], [0, 0, 2, 3, 2, 3], [1, 0, 0, 0, 0, 0]]
    det B = [4, 3, 4, 3, 0, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 1, 1, 3, 0, 0], [4, 2, 3, 4, 0, 0]], [[3, 4, 0, 2, 1, 2], [3, 4, 2, 0, 0, 1]]]

== -150752699
  rational x=(1, 0, 3)  det B = 0  not transverse  (tangent dim 1)
    B = [[[0], [3]], [[0], [3]]]
  rational x=(0, 1, 3)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[2], [3]], [[4], [3]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[4, 2, 4], [1, 1, 4], [1, 0, 0]]
    det B = [3, 0, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 1, 1], [2, 0, 1]], [[3, 2, 4], [1, 1, 3]]]

== -156145931
  rational x=(1, 1, 4)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[2], [0]], [[2], [2]]]
  rational x=(1, 3, 1)  det B = 2  TRANSVERSE  (tangent dim 0)
    B = [[[2], [2]], [[1], [2]]]
  rational x=(1, 4, 2)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[1], [0]], [[2], [4]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[3, 1, 0], [2, 1, 3], [1, 0, 0]]
    det B = [1, 2, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 4, 1], [3, 4, 1]], [[1, 2, 1], [0, 1, 0]]]

== -164995035
  rational x=(1, 4, 2)  det B = 0  not transverse  (tangent dim 1)
    B = [[[4], [2]], [[0], [0]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[1, 2], [0, 2], [1, 0]]
    det B = [4, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 0], [3, 0]], [[0, 1], [2, 3]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[2, 2], [3, 4], [1, 0]]
    det B = [0, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 2], [1, 3]], [[3, 2], [4, 3]]]

== -165570488
  rational x=(1, 4, 1)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[3], [0]], [[2], [1]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[2, 3], [0, 3], [1, 0]]
    det B = [3, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 4], [4, 0]], [[1, 0], [0, 2]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[0, 3, 0], [2, 0, 3], [1, 0, 0]]
    det B = [3, 3, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[0, 3, 4], [0, 4, 1]], [[2, 2, 2], [0, 1, 4]]]

== -167094823
  rational x=(1, 2, 2)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[3], [1]], [[1], [3]]]
  degree-5 point over F_5[t]/(t^5: [1, 0, 0, 0, 4, 1])
    x = [[2, 4, 2, 2, 2], [0, 1, 2, 0, 4], [1, 0, 0, 0, 0]]
    det B = [4, 1, 2, 3, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 0, 3, 4, 3], [0, 0, 1, 0, 4]], [[1, 3, 2, 4, 3], [0, 0, 3, 2, 0]]]

== -176386616
  rational x=(1, 2, 2)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[4], [2]], [[3], [0]]]
  rational x=(1, 4, 2)  det B = 0  not transverse  (tangent dim 1)
    B = [[[0], [0]], [[4], [0]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[3, 2, 3], [1, 3, 4], [1, 0, 0]]
    det B = [3, 3, 0]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 3, 2], [3, 1, 2]], [[1, 0, 4], [2, 1, 4]]]

== -181738571
  rational x=(1, 1, 0)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[1], [3]], [[3], [2]]]
  rational x=(1, 2, 4)  det B = 0  not transverse  (tangent dim 1)
    B = [[[0], [4]], [[0], [4]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[4, 1, 0], [1, 2, 1], [1, 0, 0]]
    det B = [3, 3, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 1, 3], [2, 4, 1]], [[4, 4, 4], [4, 0, 2]]]

== -182240771
  rational x=(1, 0, 0)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[0], [3]], [[4], [2]]]
  rational x=(1, 3, 0)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[1], [3]], [[0], [4]]]
  rational x=(0, 1, 3)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[4], [2]], [[2], [2]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[4, 3, 4], [0, 2, 3], [1, 0, 0]]
    det B = [0, 1, 4]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 4, 0], [2, 4, 3]], [[4, 4, 1], [0, 4, 0]]]

== -186243704
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[3, 3, 0], [0, 0, 1], [1, 0, 0]]
    det B = [2, 1, 3]  TRANSVERSE  (tangent dim 0)
    B = [[[2, 4, 3], [1, 4, 1]], [[0, 4, 3], [3, 1, 4]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[0, 0, 3], [0, 3, 4], [1, 0, 0]]
    det B = [4, 4, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[0, 4, 0], [3, 0, 2]], [[1, 2, 2], [4, 2, 2]]]

== -187160831
  rational x=(1, 4, 0)  det B = 0  not transverse  (tangent dim 1)
    B = [[[2], [2]], [[4], [4]]]
  rational x=(0, 1, 2)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[2], [2]], [[1], [3]]]
  degree-3 point over F_5[t]/(t^3: [1, 0, 1, 1])
    x = [[0, 1, 1], [1, 0, 3], [1, 0, 0]]
    det B = [2, 2, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[4, 0, 0], [0, 3, 0]], [[2, 3, 2], [4, 2, 0]]]

== -190572839
  rational x=(0, 1, 3)  det B = 3  TRANSVERSE  (tangent dim 0)
    B = [[[2], [4]], [[0], [4]]]
  rational x=(0, 1, 4)  det B = 4  TRANSVERSE  (tangent dim 0)
    B = [[[1], [3]], [[1], [2]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[2, 4], [1, 3], [1, 0]]
    det B = [4, 2]  TRANSVERSE  (tangent dim 0)
    B = [[[3, 3], [1, 0]], [[0, 2], [3, 0]]]
  degree-2 point over F_5[t]/(t^2: [1, 1, 1])
    x = [[0, 1], [3, 4], [1, 0]]
    det B = [2, 1]  TRANSVERSE  (tangent dim 0)
    B = [[[1, 1], [2, 1]], [[2, 0], [3, 2]]]

== -194080808
